##name	Sample: Aryanpour (2021) (en-fa, fa-en)
##input_file_size	29885
##edition	2021.01.02
##copyright	Licensed under the <a href="https://creativecommons.org/licenses/by-sa/3.0/legalcode">Creative Commons Attribution-ShareAlike 3.0 Unported</a> license
##publisher	Saeed Rasooli
##creationTime	2020-12-07
##sourceLang	English
##targetLang	Persian
a posteriori	/ā´ päs tir´ē ôr´ī´/\n\n(منطق) از معلول به علت، از جز به کل، استقرایی، استنتاجیمبتنی بر تجربه و مشاهده، تجربی، آزمون مدارانه، وابسته به پدیده سنجی (مخالف از علت به معلول یا: a priori)"where there is smoke, something is burning" is a posteriori reasoning((هر جا دود باشد چیزی می‌سوزد)) استدلال استنتاجی است.
a priori	/ā´ prī ôr´ī/\n\n(استدلال) از علت به معلول، از کلیات به جزئیات، قیاسی، استدلال پیش سوی"you slept little last night and worked hard today; therefore, you are tired" is a priori reasoningاستدلال ((تو دیشب کم خوابیدی و امروز خیلی کار کردی، بنابراین خسته هستی)) یک استدلال علت به معلول است.تئوری و نظری (در مقابل تجربی و عملی)بدون بررسی یا آزمایش قبلیReza's a priori rejection of my proposal disappointed meاز اینکه رضا پیشنهادم را بی‌درنگ رد کرد دلخور شدم.
a tempo	/ä tem´pō/\n\n(دستور نواختن موسیقی) به وزن پیشین برگردید
A-bomb	/ā´bäm´/\n\nاسم،  فعل متعدی\nبمب اتمیبا بمب اتمی حمله کردن، بمباران اتمی کردن (atomic bomb هم می‌نویسند)
A-frame	/ā´frām´/\n\nصفت،  اسم\n(معماری) خانه‌ای که چهارچوب اصلی آن به شکل A است (و شیروانی آن شیب تند دارد)
A-horizon	/ā´hǝ rī´zǝn/\n\nاسم\n(خاک شناسی) رویهٔ فرازین خاک که از هوموس (گیاخاک یا سیاخاک) تشکیل شده است، گیاخاک (رجوع شود به:ABC soil)
A-line	/ā´līn´/\n\nصفت\nلباسی که در بالا چسبان و در پایین گشاد است
A-OK	/ā´ō kā´/\n\nصفت\n(عامیانه) بسیار خوب، درجه یک، عالی (A-Okay هم می‌نویسند)
A-proposition	/ā´präp´ǝ zish´ǝn/\n\nاسم\n(منطق) قضیه مثبت عمومی
A/C	مخفف\n(دفترداری و حسابداری) حساب (account)حساب جاری (account current)
A/o|a/o	مخفف\n(اقتصاد) به حساب، دروجه
A1C	مخفف\nگروهبان یکم (نیروی هوایی امریکا)
AA	مخفف\nالکلی‌های ناشناسضد هواییفوق دیپلم در علوم انسانی
AAA	مخفف\nانجمن اتومبیلرانی امریکا
AAAL	مخفف\nفرهنگستان هنر و ادبیات امریکا
AAAS	مخفف\nانجمن توسعهٔ علوم امریکا
aah	/ä/\n\nاسم،  فعل لازم\nآخ و واخآخ و واخ کردنthey were oohing and aahing over the new TV showsآنها با دیدن نمایش‌های جدید تلویزیون اه و اوه می‌کردند.
AAM	مخفف\nموشک هوا به هوا
aardvark	/ärd´värk´/\n\nاسم\nخوک خاکی (Tubulidentata و Orycteropus afer)
aardwolf	/ärd´woolf´/\n\nاسم،  جمع\nگرگ خاکی (Proteles cristatas - از خانوادهٔ کفتار)
aargh|aarrgh|aarrghh	/är/\n\nحرف ندا\n(صوت یا ندای حاکی از تنفر یا تهوع) اه
Aaron	/er´ǝn/\n\nاسم\nاسم خاص مذکر(انجیل) هارون
Aaronic	/er än´ik/\n\nصفت\nهارونی، وابسته به هارون(کلیسای مورمون) وابسته به کشیشان درجه دوم
AAU	اتحادیهٔ ورزشکاران آماتور
AAUP	انجمن استادان دانشگاه‌های امریکا
AB	مخفف\nایالت آلبرتا (در کانادا)(بیس‌بال) تعداد ضربهلیسانس علوم انسانی
ab initio	/ab´i nish´ē ō´/\n\n(لاتین) از آغاز، از ابتدا، از اولab initio their plan was doomed to failاز همان آغاز نقشهٔ آنها محکوم به شکست بود.
ab intra	/ab in´trǝ/\n\n(لاتین) از درون
ab ovo	/ab ō´vō/\n\n(لاتین) از تخم، از آغاز، از ابتدا
ab-	/ab/,  /ǝb/\n\nپیشوند\nبر کنار از، دور، دور از، از [abdicate]
ABA	مخفف\nانجمن وکلای دادگستری امریکاانجمن کتابفروشان امریکا
aback	/ǝ bak´/\n\nقید\nبه قهقرا، به سوی عقب، عقب(دریانوردی) به سوی دکل* to be taken abackیکه خوردن، جا خوردن
abacus	/ab´ǝ kǝs/\n\nاسم،  جمع\nچرتکه، چتکه(معماری) تخته سنگ روی سر ستونجدول، منحنی، آباک
Abaddon	/ǝ bad´'n/\n\nاسم\nجهان اسفل، مرده سرایفرشتهٔ مغاک(انجیل) ابدون
abaft	/ǝ baft´/\n\nقید،  حرف اضافه\nبه سوی عقب یا در عقب کشتی، به سمت پاشنه
abalone	/ab´ǝ lō´nē/\n\nاسم\nآبالون (نوعی صدف دریایی)
abandon	/ǝ ban´dǝn/\n\nفعل متعدی\nرها کردن، دست کشیدن، متوقف کردن، ول کردن، صرفنظر کردنdo not abandon hopeامید را از دست نده.they abandoned their attempt to escapeاز کوشش برای فرار دست کشیدند.قال گذاشتن، ترک کردنhe abandoned his companion in the middle of the journeyدر وسط سفر دوست خود را ترک کرد.خود را تسلیم کردنhe abandoned himself to lecheryاو خود را تسلیم شهوت کرد.رهایی، بی‌بند و باریاشتیاق، شور و شعفchildish abandonشور و شعف کودکانه* abandoning shipترک ناو
abandoned	/ǝ ban´dǝnd/\n\nصفت\nمتروکه، ترک شده، رها شده، ول شدهan abandoned farmhouseخانه روستایی متروکهan abandoned childکودکی که والدینش او را رها کرده‌اند، بچه سر راهیهرزه، دارای فساد اخلاقیبی‌بند و بار، بی‌پروا
abase	/ǝ bās´/\n\nفعل متعدی\nخوار و خفیف کردن، کوچک کردن، فروافکندن، پست کردن، تحقیر کردنthose who are proud shall be abasedآنان که غرور دارند زبون خواهند شد.رو به پایین شدن، (به زیر) خمیدنthe abased tips of some birds' wingsنوک خمیدهٔ بال برخی از پرندگان
abash	/ǝ bash´/\n\nفعل متعدی\nشرمسار کردن، شرمنده کردن، خجل کردنshe said abashedly ...او با کم رویی گفت ...she was easily abashedاو زود خجالتی می‌شد.his mistake abashed himاشتباهش او را شرمسار کرد.
abate	/ǝ bāt´/\n\nفعل متعدی،  فعل لازم\nفروکش کردن، فرو نشستن، کم کردن یا شدن، کاهش یافتنslowly, the flood waters abatedسیلاب کم‌کم فرو نشست.the storm abatedتوفان فروکش کرد.کاستن، تخفیف دادنto abate a taxمالیات را تخفیف دادن(حقوق) خاتمه دادنto abate an actionعملی را خاتمه دادنبرطرف کردن، تنزل یافتن، تخفیف یافتن
abatement	/-mǝnt/\n\nاسم\nفروکش، تسکینthe abatement of mutual hatredکاهش انزجار متقابلتخفیف، مبلغ کاسته شده(حقوق) خاتمهٔ دعوی یا مزاحمت(ریاضی) کاهش، تنزل
abatis|abattis	/ab´ǝ tis/\n\nاسم،  جمع\n(ارتش) سد یا مانع ساخته شده از تنهٔ درخت
abattoir	/ab´ǝ twär´/\n\nاسم\nکشتارگاه، مسلخ
abaxial	/ab aks´ē ǝl/\n\nصفت\nخارج از محور، فرا محوری، پشتی(سینما) دور از محور، بجز محوری، لنگ(گیاه‌شناسی) ورا اسه، ورا اسه‌ای، دور شونده از ساقه
abba	/ab´ǝ/\n\nاسم\nپدر، ابا، ابوعبا
abbacy	/ab´ǝ sē/\n\nاسم،  جمع\nقلمرو یا مقام یا مقر راهب
Abbassid	/ǝ bas´id/\n\nاسم،  صفت\n(خلفای) عباسی
abbatial	/ǝ bā´shǝl/\n\nصفت\nراهبی، راهبانه، خانقاهی
abbess	/ab´ǝs/\n\nاسم\nسر راهبه، مادر روحانی، سرپرست صومعه
Abbevillian	/ab´ǝ vil´ē ǝn/\n\nصفت\nوابسته به دوران کهنه سنگی سفلی
abbey	/ab´ē/\n\nاسم\nصومعه، خانقاه، دیرراهبان یا راهبه‌های صومعهکلیسای صومعه، کلیسای وابسته به صومعهWestminster Abbeyکلیسای وستمینستر (در لندن)she was buried in the abbeyاو را در کلیسای صومعه دفن کردند.
abbr|abbrev	مخفف\nکوته نوشتهکوتاه‌سازی، علامت اختصاری
abbreviate	/ǝ brē´vē āt´/\n\nفعل متعدی\nکوتاه کردن، مختصر کردنthe marriage ceremony was abbreviated by rainباران موجب شد که مراسم ازدواج کوتاه بشود.مخفف کردن، خلاصه کردنan abbreviated storyداستان خلاصه شدهto abbreviate "building" as "bldg"واژهٔ "building" را به صورت "bldg" مخفف کردن
abbreviation	/ǝ brē´vē ā´shǝn/\n\nاسم\nکوتاه‌سازی، اختصار، کوته‌نوشت، مخفف‌سازی، مخففthe abbreviation of Christmas into Xmasمخفف سازی "Christmas" به صورت "Xmas"متن مختصر شده، ملخصمخفف، تلخیص، خلاصهthis is an abbreviation of the original storyاین خلاصه‌ای از داستان اصلی است.علامت اختصاری
abbé	/a´bā/\n\nاسم\n(فرانسه - عنوان) کشیش، عابد
ABC	/ā´bē´sē´/\n\nاسم،  جمع\n(معمولا جمع) الفبااصول، مقدمات، مبانی(مخفف: American Broadcasting Company) سازمان سخن‌پراکنی امریکا
ABC soil	مقطع عمودی خاک متشکل از سه لایه (خاک خوب، خاک رس، سنگ)، نیمرخ خاک با افق‌های مشخص سه‌گانه
ABD	کسی که همهٔ واحدهای دورهٔ دکترا را گذرانده است بجز رسالهٔ دکترا
abdicate	/ab´di kāt´/\n\nفعل متعدی،  فعل لازم\nاستعفا کردن یا دادن، (مسئولیت) سلب کردن، از عهدهٔ خود برداشتن(از سلطنت) کناره‌گیری کردنMohammad Alishah was forced to abdicateمحمد علی‌شاه وادار به استعفا شد.تفویض کردن، دست برداشتن، صرفنظر کردنto abdicate an opinionاز عقیده‌ای صرفنظر کردنعاق کردن، از ارث محروم کردنa father who abdicates his sonپدری که پسر خود را عاق می‌کند
abdomen	/ab´dǝ mǝn/\n\nاسم\nشکم، بطن(مهره‌داران) بخش داخلی بدن از سینه تالگن خاصره(بند پایان) بخش خلفی بدن (که شامل اعضای تناسلی نیز می‌شود)
abdominal	/ab däm´ǝ nǝl/,  /ǝb-/\n\nصفت\nشکمی، بطنی، مربوط به شکمabdominal painدرد شکم* abdominal pouch(کانگورو و غیره) کیسهٔ شکمی (marsupium هم می‌گویند)* abdominal region(کالبدشناسی) ناحیهٔ شکمی (هریک از نه بخشی که شکم به آن تقسیم می‌شود)
abducent	/ab dōō´sǝnt/\n\nصفت\n(عضله) دور کننده، ورا برنده
abduct	/ab dukt´/,  /ǝb-/\n\nفعل متعدی\nآدم‌ربایی کردن، آدم دزدیدنhis son was abducted by a group of terroristsیک دسته تروریست پسر او را دزدیدند.(زیست شناسی) از محور بدن دور کردن، ورا بردن، جدا کردنto abduct adjoining fingersانگشت‌های مجاور را از هم دور کردن
abduction	/ab duk´shǝn/,  /ǝb-/\n\nاسم\nآدم ربایی، آدم دزدی(زیست شناسی) دور سازی از محور بدن، ورابریthe abduction of a limbورابری یک اندام
Abdul-Aziz	/äb´dōōl ä zēz´/\n\nعبدالعزیز (سلطان عثمانی)
Abdul-Hamid II	/-hä mēd´/\n\nعبدالحمید دوم (سلطان عثمانی)
Abdul-Medjid|Abdul-Mejid	/-me jēd´/\n\nعبدالمجید (سلطان عثمانی)
abeam	/ǝ bēm´/\n\nقید،  صفت\nعمود بر درازای کشتیواقع در وسط و پهلوی کشتی
abecedarian	/ā´bē sē der´ē ǝn/\n\nاسم،  صفت\nابجدآموز، نوآموز، مبتدی، تازه‌کارابتدایی، اولیه، آغازینالفبایی، وابسته به الفبا، واتی
abed	/ǝ bed´/\n\nقید،  صفت\nدر بستر، در تختخواب، بستریsick abedبیمار بستریabed and asleepدر بستر و در خواب
Abel	/ā´bǝl/\n\nهابیل (فرزند آدم و حوا)
Aberdeen	/ab´ǝr dēn´/\n\nبندر ابردین (اسکاتلند)
Aberdeen Angus	/ab´ǝr dēn´ aŋ´gǝs/\n\nگاو سیاه و بی‌شاخ و پروار
Abernathy	/ab´ǝr nath´ē/\n\nرالف دیوید ابرناتی (کشیش و یکی از رهبران سیاهپوستان امریکا)
aberrant	/ab er´ǝnt/\n\nصفت\nگمراه، منحرف، کج‌رو، کج‌راه، ابیراه، بیراهنامعمول، ناهنجار، غیر عادی، نابهنجارaberrant behaviorرفتار غیر عادی (نابهنجار)
aberration	/ab´ǝr ā´shǝn/\n\nاسم\nابیراهی، بیراهی، کج‌راهی، گمراهی، انحراف، کج‌روی، ضلالتaberration rateمیزان انحرافmoral aberrationانحراف اخلاقیstellar aberrationابیراهی ستاره‌اینابهنجاری، غیر عادی یا غیر معمول بودن، نقص، اختلالstatistical aberrationانحراف آماریجنون، دیوانگیعدم انطباق کانونینابجایی، انحراف از وضع طبیعی
abet	/ǝ bet´/\n\nفعل متعدی\nشریک جرم کسی شدن، برانگیختن، تحریک به عمل بد کردن، به معاونت جرم واداشتن، همدستی کردنto abet the commission of a crimeدر ارتکاب جرم شریک بودنaiding and abetting the enemyکمک و همدستی با دشمن
abeyance	/ǝ bā´ǝns/\n\nاسم\nتعلیق، وقفه، سکونthat law has been in abeyance for many yearsآن قانون سال‌ها است که به حال تعلیق در آمده است.(حقوق) بلاتکلیفی* fall into abeyanceبه حالت تعلیق درآوردن
abhor	/ab hôr´/\n\nفعل متعدی\nتنفر داشتن، منزجر بودن، نفرت داشتن، بیزار بودنshe abhors hunting animalsاو از شکار حیوانات نفرت دارد.I abhor the smell of garlicمن از بوی سیر بیزارم.احتراز کردن، پرهیز کردن، دوری کردنthe university should abhor mediocrityدانشگاه باید از پایین بردن سطح آموزش اجتناب کند.
abhorrence	/-hôr´ǝns/,  /-här´-/\n\nاسم\nتنفر، نفرت، انزجار، بیزاریafter seeing the corpses, I could not hide my abhorrenceپس از دیدن اجساد نتوانستم انزجار خود را پنهان کنم.مورد نفرت
abhorrent	/-ǝnt/\n\nصفت\nتنفرآور، منزجر کننده، نفرت انگیز، فجیع، مشمئز کنندهtorture is abhorrent to meشکنجه برایم نفرت‌انگیز است.مخالف، ضد، مغایر، برخلافمتنفر، مشمئز
abide	/ǝ bīd´/\n\nفعل لازم،  فعل متعدی\nپابرجا ماندن، باقی ماندن، دوام آوردن، پایدار ماندنthat memory will abide in my mind foreverآن خاطره همیشه در ذهنم خواهد ماند.(قدیمی) اقامت کردن، ماندنمنتظر ماندنتحمل کردن، تاب آوردنI could not abide her any moreدیگر نمی‌توانستم او را تحمل کنم.چشم به راه چیزی بودن، ماندن، به سر بردنwe shall abide till the battle is wonتا هنگام پیروزی در نبرد (در اینجا) خواهیم ماند.* abide by1- به وعده وفا کردن، به قول خود عمل کردن 2- پیروی کردن از، گردن نهادن به، اطاعت کردنAkbar abided by his promiseاکبر به قول خود وفا کرد.
abiding	/ǝ bid´iŋ/\n\nصفت\nهمیشگی، ابدی، جاودانه، پایا، پایدار، برقرار، ماندگار، مانا
Abidjan	/ab´ǝ jän´/\n\nبندر ابی‌جان (در کشور ساحل عاج)
Abigail	/ab´ǝ gāl´/\n\nاسم خاص مونث
Abilene	/ab´ǝ lēn´/\n\nابیلین (شهری در ایالت تگزاس - امریکا)
