##name	300-ru-en
##sourceLang	Russian
##targetLang	English
забавник|забавника|забавникам|забавниками|забавниках|забавнике|забавники|забавников|забавником|забавнику	<font color="#007000">noun</font> забавник (m) <br>\njollier, merry maker
завещательница|завещательниц|завещательницe|завещательницам|завещательницами|завещательницах|завещательнице|завещательницей|завещательницею|завещательницу|завещательницы	<font color="#007000">noun</font> завещательница (f) <br>\ntestatrices, testatrix, woman who leaves a will
зависимая страна|зависимый страна	<font color="#007000">noun</font><br>\ndependency, territory subject to the dominion of another country
завуалированный|завуалированная|завуалированного|завуалированное|завуалированной|завуалированном|завуалированному|завуалированную|завуалированные|завуалированным|завуалированными|завуалированных	<font color="#007000">adjective</font><br>\ncovert
задираться|задираемся|задираетесь|задирается|задираешься|задирайся|задирайтесь|задиралась|задирались|задиралось|задирался|задираюсь|задираются	<font color="#007000">verb</font><br>\nbreak; ride up
задуть|задуем|задует|задуете|задуешь|задуй|задуйте|задул|задула|задули|задуло|задую|задуют	<font color="#007000">verb</font><br>\nblow in; blow out
зажариваться|зажариваемся|зажариваетесь|зажаривается|зажариваешься|зажаривайся|зажаривайтесь|зажаривалась|зажаривались|зажаривалось|зажаривался|зажариваюсь|зажариваются|зажарилась|зажарились|зажарилось|зажарился|зажаримся|зажарись|зажаритесь|зажарится|зажариться|зажаришься|зажарюсь|зажарятся	<font color="#007000">verb</font><br>\n<I>(perf. ><B>зажариться</B>)</I> be ready fried; be ready roasted, be ready broiled, be ready grilled
закутаться(transitive)|закутавшаяся|закутавшегося|закутавшееся|закутавшейся|закутавшемся|закутавшемуся|закутавшиеся|закутавшийся|закутавшимися|закутавшимся|закутавшись|закутавшихся|закутавшуюся	<font color="#007000">verb</font> закутаться<br>\nroll oneself up
заочные курсы|заочный курсы	<font color="#007000">noun</font><br>\ncorrespondence courses
запыхавшийся|запыхавшаяся|запыхавшегося|запыхавшееся|запыхавшейся|запыхавшемся|запыхавшемуся|запыхавшиеся|запыхавшимися|запыхавшимся|запыхавшихся|запыхавшуюся	<font color="#007000">adjective</font><br>\nbreathless, short of breath, winded
засохнуть|засох|засохла|засохли|засохло|засохнем|засохнет|засохнете|засохнешь|засохни|засохните|засохну|засохнул|засохнула|засохнули|засохнуло|засохнут	<font color="#007000">verb</font><br>\ndry up, wither
захватывающий фильм	<font color="#007000">noun</font><br>\nthriller
зоопарк|зоопарка|зоопаркам|зоопарками|зоопарках|зоопарке|зоопарки|зоопарков|зоопарком|зоопарку	<font color="#007000">noun</font> зоопарк (m) <br>\nzoo, animal zoo, garden where animals are kept for visitors to see and learn about
зря тратить деньги	muddle away one's money
зрячий|зрячая|зрячего|зрячее|зрячей|зрячем|зрячему|зрячие|зрячим|зрячими|зрячих|зрячую	<font color="#007000">adjective</font><br>\nsighted, able to see
идет снег	it snows, it is snowing
изболеться|изболеемся|изболеетесь|изболеется|изболеешься|изболейся|изболейтесь|изболелась|изболелись|изболелось|изболелся|изболеюсь|изболеются	<font color="#007000">verb</font><br>\nbe in torment, be tormented
извилистость|извилистостей|извилистости|извилистостью|извилистостям|извилистостями|извилистостях	<font color="#007000">noun</font> извилистость (f) <br>\ndeviousness, circuitousness; sinuosity, curviness; tortuosity, quality of being twisted
излюбленная тема|излюбленный тема	<font color="#007000">noun</font><br>\nhobbyhorse, pet idea or project
изменить место сбора|изменить место сбор	<font color="#007000">verb</font><br>\nshift the venue
изобрести новый план	<font color="#007000">verb</font><br>\nstrike out a new idea
изъявить|изъяви|изъявил|изъявила|изъявили|изъявило|изъявим|изъявит|изъявите|изъявишь|изъявлю|изъявляем|изъявляет|изъявляете|изъявляешь|изъявляй|изъявляйте|изъявлял|изъявляла|изъявляли|изъявляло|изъявлять|изъявляю|изъявляют|изъявят	<font color="#007000">verb</font><br>\n<I>(imperf. ><B>изъявлять</B>)</I> express
инфильтрация|инфильтрацией|инфильтрациею|инфильтрации|инфильтраций|инфильтрацию|инфильтрациям|инфильтрациями|инфильтрациях	<font color="#007000">noun</font> инфильтрация (f) <br>\ninfiltration, seepage
иск по суду|иск по суд	<font color="#007000">noun</font><br>\nplea, (Law) appeal
исторгнуть признание|исторгать признание	put somebody through the wringer
историограф|историографа|историографам|историографами|историографах|историографе|историографов|историографом|историографу|историографы	<font color="#007000">noun</font> историограф (m) <br>\nhistoriographer, annalist
исхоженный|исхоженная|исхоженного|исхоженное|исхоженной|исхоженном|исхоженному|исхоженную|исхоженные|исхоженным|исхоженными|исхоженных	<font color="#007000">adjective</font><br>\nfootworn
каждый встречный и поперечный	every mother's son, every man
как если бы	<font color="#007000">conjunction</font><br>\nas though
кальцинировать|кальцинировал|кальцинировала|кальцинировали|кальцинировало|кальцинируем|кальцинирует|кальцинируете|кальцинируешь|кальцинируй|кальцинируйте|кальцинирую|кальцинируют	<font color="#007000">verb</font><br>\ncalcine, reduce a substance to a powdery consistency by the application of a high heat, roast
камера сгорания|камера сгорание	<font color="#007000">noun</font><br>\ncombustion chamber, compression chamber
клематис|клематиса|клематисам|клематисами|клематисах|клематисе|клематисов|клематисом|клематису|клематисы	<font color="#007000">noun</font> клематис (m) <br>\nclematis, type of climbing plant
клепсидра|клепсидр|клепсидрe|клепсидрам|клепсидрами|клепсидрах|клепсидре|клепсидрой|клепсидрою|клепсидру|клепсидры	<font color="#007000">noun</font> клепсидра (f) <br>\nclepsydra
книга|книг|книгe|книгам|книгами|книгах|книге|книги|книгой|книгою|книгу	<font color="#007000">noun</font> книга (f) <br>\nbook; volume
кожистый|кожистая|кожистого|кожистое|кожистой|кожистом|кожистому|кожистую|кожистые|кожистым|кожистыми|кожистых	<font color="#007000">adjective</font><br>\ncoriaceous
комбинация|комбинацией|комбинациею|комбинации|комбинаций|комбинацию|комбинациям|комбинациями|комбинациях	<font color="#007000">noun</font> комбинация (f) <br>\ncombination; racket, deceptive act or scheme; slip, type of woman's undergarment
комнатная антенна|комнатный антенна	<font color="#007000">noun</font><br>\nindoor aerial, internal aerial
конский|конская|конские|конским|конскими|конских|конского|конское|конской|конском|конскому|конскую	<font color="#007000">adjective</font><br>\nhorse, equine
корректор-подчитчик|корректор подчитчик	<font color="#007000">noun</font> корректор-подчитчик (m) <br>\ncopyreader
коснеющий в грехе|коснеть в грех	<font color="#007000">adjective</font><br>\nreprobate
кривиться(transitive)|кривившаяся|кривившегося|кривившееся|кривившейся|кривившемся|кривившемуся|кривившиеся|кривившийся|кривившимися|кривившимся|кривившись|кривившихся|кривившуюся|кривясь|кривящаяся|кривящегося|кривящееся|кривящейся|кривящемся|кривящемуся|кривящиеся|кривящийся|кривящимися|кривящимся|кривящихся|кривящуюся|скривившаяся|скривившегося|скривившееся|скривившейся|скривившемся|скривившемуся|скривившиеся|скривившийся|скривившимися|скривившимся|скривившись|скривившихся|скривившуюся	<font color="#007000">verb</font> кривиться<br>\n<I>(perf. ><B>скривиться</B>)</I> bevel, cut a sloping edge; slant
кристалл|кристалла|кристаллам|кристаллами|кристаллах|кристалле|кристаллов|кристаллом|кристаллу|кристаллы	<font color="#007000">noun</font> кристалл (m) <br>\ncrystal, transparent mineral (especially a type of quartz)
ку клукс клан	ку клукс клан (m) <br>\nKu Klux Klan, KKK, radical white-supremacist organization in the United States
кулуары|кулуарам|кулуарами|кулуарах|кулуаров	<font color="#007000">noun</font> кулуары (pl) <br>\nlobby, large hall or near the entrance to a building
кутить(transitive)|кутив|кутившая|кутившего|кутившее|кутившей|кутившем|кутившему|кутивши|кутившие|кутивший|кутившим|кутившими|кутивших|кутившую|кутнув|кутнувшая|кутнувшего|кутнувшее|кутнувшей|кутнувшем|кутнувшему|кутнувши|кутнувшие|кутнувший|кутнувшим|кутнувшими|кутнувших|кутнувшую|кутя|кутящая|кутящего|кутящее|кутящей|кутящем|кутящему|кутящие|кутящий|кутящим|кутящими|кутящих|кутящую	<font color="#007000">verb</font> кутить<br>\n<I>(perf. ><B>кутнуть</B>)</I> revel; carouse
леггорн|леггорна|леггорнам|леггорнами|леггорнах|леггорне|леггорнов|леггорном|леггорну|леггорны	<font color="#007000">noun</font> леггорн (m) <br>\nLeghorn, Mediterranean breed of chicken that lays many eggs
лелеять(transitive)|лелеющая|лелеющего|лелеющее|лелеющей|лелеющем|лелеющему|лелеющие|лелеющий|лелеющим|лелеющими|лелеющих|лелеющую|лелея|лелеяв|лелеявшая|лелеявшего|лелеявшее|лелеявшей|лелеявшем|лелеявшему|лелеявши|лелеявшие|лелеявший|лелеявшим|лелеявшими|лелеявших|лелеявшую	<font color="#007000">verb</font> лелеять<br>\ncherish, nurture; entertain; nourish; nurse
лепиться|лепилась|лепились|лепилось|лепился|лепимся|лепись|лепитесь|лепится|лепишься|леплюсь|лепятся	<font color="#007000">verb</font><br>\ncling
лоскут|лоскута|лоскутам|лоскутами|лоскутах|лоскуте|лоскутов|лоскутом|лоскуту|лоскуты	<font color="#007000">noun</font> лоскут (m) <br>\nrag; patch; snippet
лучший из остальных|лучший из остальное	next best thing
любовь без взаимности|любовь без взаимность	<font color="#007000">noun</font><br>\nunanswered love, unrequited love
люпус|люпуса|люпусам|люпусами|люпусах|люпусе|люпусов|люпусом|люпусу|люпусы	<font color="#007000">noun</font> люпус (m) <br>\nlupus, any of several diseases which causes lesions on the skin
магический глаз	<font color="#007000">noun</font><br>\nmagic eye, electric eye
магнезия|магнезией|магнезиею|магнезии|магнезий|магнезию|магнезиям|магнезиями|магнезиях	<font color="#007000">noun</font> магнезия (f) <br>\nmagnesia, (Chemistry) magnesium oxide, white powdery compound (used in cosmetics, pharmaceuticals, etc.)
маленькое увлечение|маленький увлечение	<font color="#007000">noun</font><br>\nslight penchant
маммография|маммографией|маммографиею|маммографии|маммографий|маммографию|маммографиям|маммографиями|маммографиях	<font color="#007000">noun</font> маммография (f) <br>\nmammography, X-ray examination of the breast used to detect abnormalities
массивность|массивностей|массивности|массивностью|массивностям|массивностями|массивностях	<font color="#007000">noun</font> массивность (f) <br>\nmassiveness, solidness
матовое золото|матовый золото	<font color="#007000">noun</font><br>\ndead gold
медиевист|медиевиста|медиевистам|медиевистами|медиевистах|медиевисте|медиевистов|медиевистом|медиевисту|медиевисты	<font color="#007000">noun</font> медиевист (m) <br>\nmedievalist, researcher of the Middle Ages; expert in medieval history; one greatly attracted to medieval things
место работы|место работа	<font color="#007000">noun</font><br>\njob, work
мидия|мидией|мидиею|мидии|мидий|мидию|мидиям|мидиями|мидиях	<font color="#007000">noun</font> мидия (f) <br>\nmussel, edible bivalve mollusk
микрофон|микрофона|микрофонам|микрофонами|микрофонах|микрофоне|микрофонов|микрофоном|микрофону|микрофоны	<font color="#007000">noun</font> микрофон (m) <br>\nmicrophone, mike, device which converts sound waves into electronic signals for recording and amplification or broadcast.
молодой месяц	<font color="#007000">noun</font><br>\nnew moon
молоко|молока|молоке|молоком|молоку	<font color="#007000">noun</font> молоко (n) <br>\nmilk, white liquid produced by female mammals that serves as nourishment for their young; this liquid from some mammals (cows, sheep, and goats) that is processed for human consumption; similar liquid produced by certain plants (as the coconut)
молочный|молочная|молочного|молочное|молочной|молочном|молочному|молочную|молочные|молочным|молочными|молочных	<font color="#007000">adjective</font><br>\nmilky, milk, lactic
морская пограничная служба|морской пограничный служба	<font color="#007000">noun</font><br>\ncoastguard
мотор|мотора|моторам|моторами|моторах|моторе|моторов|мотором|мотору|моторы	<font color="#007000">noun</font> мотор (m) <br>\nmotor, engine
наборная машина|наборный машина	<font color="#007000">noun</font><br>\ntypesetter, typesetting machine
наводчик|наводчика|наводчикам|наводчиками|наводчиках|наводчике|наводчики|наводчиков|наводчиком|наводчику	<font color="#007000">noun</font> наводчик (m) <br>\ngun-layer; pointer
наклеп|наклепа|наклепам|наклепами|наклепах|наклепе|наклепов|наклепом|наклепу|наклепы	<font color="#007000">noun</font> наклеп (m) <br>\ncold hardening
напиваться(transitive)|напивавшаяся|напивавшегося|напивавшееся|напивавшейся|напивавшемся|напивавшемуся|напивавшиеся|напивавшийся|напивавшимися|напивавшимся|напивавшись|напивавшихся|напивавшуюся|напивающаяся|напивающегося|напивающееся|напивающейся|напивающемся|напивающемуся|напивающиеся|напивающийся|напивающимися|напивающимся|напивающихся|напивающуюся|напиваясь	<font color="#007000">verb</font> напиваться<br>\nget drunk, booze, intoxicate
напрасное усилие|напрасный усилие	lost effort; dead lift, waste effort
нарезка резьбы|нарезка резьба	<font color="#007000">noun</font><br>\ntapping
настойчивая просьба|настойчивый просьба	<font color="#007000">noun</font><br>\nsolicitation, entreaty
находить выход	<font color="#007000">verb</font><br>\nsolve, find a solution
начальник дока	<font color="#007000">noun</font><br>\ndock master
начать тяжбу|начать тяжба	take issue, join issue
не обремененный	<font color="#007000">adjective</font><br>\nunencumbered, unladen
невзыскательный(transitive)|невзыскателен|невзыскательна|невзыскательно|невзыскательны	<font color="#007000">adjective</font> невзыскательный<br>\nundemanding
неврология|неврологией|неврологиею|неврологии|неврологий|неврологию|неврологиям|неврологиями|неврологиях	<font color="#007000">noun</font> неврология (f) <br>\nneurology, science of the functions and disorders of the nervous system (Medicine)
незапланированный|незапланированная|незапланированного|незапланированное|незапланированной|незапланированном|незапланированному|незапланированную|незапланированные|незапланированным|незапланированными|незапланированных	<font color="#007000">adjective</font><br>\nextemporaneous
неистощимый|неистощимая|неистощимого|неистощимое|неистощимой|неистощимом|неистощимому|неистощимую|неистощимые|неистощимым|неистощимыми|неистощимых	<font color="#007000">adjective</font><br>\ninexhaustible
некомпетентность|некомпетентностей|некомпетентности|некомпетентностью|некомпетентностям|некомпетентностями|некомпетентностях	<font color="#007000">noun</font> некомпетентность (f) <br>\nincompetence
немеченый|немеченая|немеченого|немеченое|немеченой|немеченом|немеченому|немеченую|немеченые|немеченым|немечеными|немеченых	<font color="#007000">adjective</font><br>\nunmarked
неприспособленный|неприспособленная|неприспособленного|неприспособленное|неприспособленной|неприспособленном|неприспособленному|неприспособленную|неприспособленные|неприспособленным|неприспособленными|неприспособленных	<font color="#007000">adjective</font><br>\nnot suited to, not adapted; unequipped
несварение|несварением|несварении|несварений|несварению|несварения|несварениям|несварениями|несварениях	<font color="#007000">noun</font> несварение (n) <br>\nindigestion
неспособный|неспособная|неспособного|неспособное|неспособной|неспособном|неспособному|неспособную|неспособные|неспособным|неспособными|неспособных	<font color="#007000">adjective</font><br>\nincapable, incompetent; inefficient
нижняя юбка|нижний юбка	<font color="#007000">noun</font><br>\nunderskirt, petticoat, slip
обессиленный|обессиленная|обессиленного|обессиленное|обессиленной|обессиленном|обессиленному|обессиленную|обессиленные|обессиленным|обессиленными|обессиленных	<font color="#007000">adjective</font><br>\nexhausted; prostrate; bleeding
обитаемый|обитаемая|обитаемого|обитаемое|обитаемой|обитаемом|обитаемому|обитаемую|обитаемые|обитаемым|обитаемыми|обитаемых	<font color="#007000">adjective</font><br>\nhabitable; inhabited
обращаться за помощью|обращаться за помощь	<font color="#007000">verb</font><br>\nresort, have recourse to, have recurrence to
обсуждать по пунктам|обсуждать по пункт	<font color="#007000">verb</font><br>\ndiscuss seriatim
обязательно приходите	don't fail to come
окачивать(transitive)|окачивав|окачивавшая|окачивавшего|окачивавшее|окачивавшей|окачивавшем|окачивавшему|окачивавши|окачивавшие|окачивавший|окачивавшим|окачивавшими|окачивавших|окачивавшую|окачиваема|окачиваемая|окачиваемо|окачиваемого|окачиваемое|окачиваемой|окачиваемом|окачиваемому|окачиваемую|окачиваемы|окачиваемые|окачиваемый|окачиваемым|окачиваемыми|окачиваемых|окачивающая|окачивающего|окачивающее|окачивающей|окачивающем|окачивающему|окачивающие|окачивающий|окачивающим|окачивающими|окачивающих|окачивающую|окачивая	<font color="#007000">verb</font> окачивать<br>\nsouse
